NAME,TIME,STABILITY
MYS,2020,0.11
MYS,2021,0.14
MDV,2014,0.68
MDV,2015,0.42
MDV,2016,0.42
MDV,2017,0.23
MDV,2018,0.09
MDV,2019,0.03
MDV,2020,0.39
MDV,2021,0.5
MLI,2014,-1.71
MLI,2015,-1.69
MLI,2016,-1.62
MLI,2017,-1.91
MLI,2018,-2.09
MLI,2019,-2.2
MLI,2020,-2.13
MLI,2021,-2.35
MLT,2014,1.13
MLT,2015,1.06
MLT,2016,1.08
MLT,2017,1.25
MLT,2018,1.28
MLT,2019,1.02
MLT,2020,1.01
MLT,2021,0.97
MHL,2014,0.99
MHL,2015,0.92
MHL,2016,0.21
MHL,2017,0.87
MHL,2018,0.73
MHL,2019,0.76
MHL,2020,0.63
MHL,2021,0.61
MRT,2014,-0.59
MRT,2015,-0.64
MRT,2016,-0.75
MRT,2017,-0.63
MRT,2018,-0.63
MRT,2019,-0.57
MRT,2020,-0.72
MRT,2021,-0.67
MUS,2014,0.67
MUS,2015,1
MUS,2016,1.01
MUS,2017,0.97
MUS,2018,0.87
MUS,2019,0.81
MUS,2020,0.88
MUS,2021,0.86
MEX,2014,-0.85
MEX,2015,-0.8
MEX,2016,-0.63
MEX,2017,-0.8
MEX,2018,-0.65
MEX,2019,-0.84
MEX,2020,-0.86
MEX,2021,-0.64
FSM,2014,0.98
FSM,2015,1.04
FSM,2016,1.06
FSM,2017,1.18
FSM,2018,1.17
FSM,2019,1.11
FSM,2020,1.08
FSM,2021,1.11
MNG,2014,0.79
MNG,2015,0.72
MNG,2016,0.8
MNG,2017,0.79
MNG,2018,0.83
MNG,2019,0.63
MNG,2020,0.72
MNG,2021,0.65
MNE,2014,0.22
MNE,2015,0.14
MNE,2016,0.28
MNE,2017,-0.06
MNE,2018,0.04
MNE,2019,0.07
MNE,2020,-0.06
MNE,2021,-0.15
MAR,2014,-0.45
MAR,2015,-0.34
MAR,2016,-0.31
MAR,2017,-0.37
MAR,2018,-0.35
MAR,2019,-0.34
MAR,2020,-0.35
MAR,2021,-0.4
MOZ,2014,-0.34
MOZ,2015,-0.51
MOZ,2016,-1.09
MOZ,2017,-0.93
MOZ,2018,-0.82
MOZ,2019,-0.75
MOZ,2020,-1.3
MOZ,2021,-1.23
MMR,2014,-1.09
