NAME,TIME,DISTANCE
EGY,2021,3211971.80610104
JPN,2021,9476221.68774838
CHL,2021,11865957.9505718
SGP,2021,10565956.610142
VAT,2020,1171580.13762103
SMR,2020,980288.952698828
LIE,2020,559637.576129932
FSM,2020,13131612.2300428
MHL,2020,13465640.6997942
TUV,2020,15288546.0938844
PLW,2020,11986487.7359203
MCO,2020,822262.653255492
KIR,2020,14123959.6002227
COM,2020,7885949.31247121
AND,2020,949760.544652496
TTO,2020,7406590.09532282
RWA,2020,6339643.57162757
SWZ,2020,8943261.69373481
SSD,2020,5696146.38605587
QAT,2020,4899080.52570481
MNE,2020,1469203.71655355
CHE,2020,492639.082484463
XKX,2020,1568602.59476564
DMA,2020,7001722.49663321
DJI,2020,5595716.89289519
GMB,2020,4556590.35379038
MKD,2020,1634520.44565129
BRB,2020,7065707.49110141
BDI,2020,6463780.48718905
VCT,2020,7171890.31200742
LCA,2020,7083711.34016577
KNA,2020,6926894.79130755
MUS,2020,9424743.92682941
GRD,2020,7302057.53671528
BHR,2020,4757138.81084646
ATG,2020,6881597.59397154
URY,2020,11191906.8098848
TGO,2020,4963914.62926451
TUN,2020,1627264.1837345
ARE,2020,5158218.87107916
TKM,2020,4427307.01619166
ZMB,2020,7701673.19102321
ZWE,2020,8040798.32799701
TLS,2020,12907658.5786806
VUT,2020,16068688.2330773
HND,2020,8913351.88547528
GUY,2020,7513055.23487352
ISL,2020,2134020.25935711
HTI,2020,7500842.21914513
UGA,2020,6201034.88993771
SUR,2020,7398864.27716641
NER,2020,4143527.56276958
TJK,2020,5112867.04172797
PRY,2020,10386742.5377131
NIC,2020,9012855.84149194
SLE,2020,4967961.86979296
PAK,2020,5755330.58123904
NPL,2020,7059572.74069664
ZAF,2020,9114845.2387923
ZAF,2020,8797889.8750031
PNG,2020,14304696.6563222
SLB,2020,14902450.4130928
PAN,2020,8810654.83964328
MAR,2020,2075746.45888378
MDA,2020,1838029.15159367
MOZ,2020,8948038.95437669
SOM,2020,6631362.44572051
OMN,2020,5504893.97984964
LKA,2020,8397920.78878694
MNG,2020,6814871.80067105
NAM,2020,8226771.64152894
NGA,2020,4641579.21651696
GNB,2020,4686336.63414894
JOR,2020,3330485.75517887
KGZ,2020,5224007.34849487
LSO,2020,9165863.47394746
MDG,2020,8803579.29249413
ECU,2020,9522853.954921
CRI,2020,9048605.72623559
SLV,2020,9085482.97256219
JAM,2020,7859037.45880905
TCD,2020,4403194.32082641
GNQ,2020,5235732.32180448
ERI,2020,5006793.25414638
MWI,2020,7731102.32421225
GTM,2020,9097448.37215555
GAB,2020,5612135.11468035
FJI,2020,16338868.742302
MRT,2020,4054181.72141903
MLI,2020,4379998.1769232
LBN,2020,3146962.71004505
GEO,2020,3231990.6387812
KAZ,2020,4539600.4606253
LAO,2020,9042973.55042227
COG,2020,6193798.82874145
GIN,2020,4868779.99343206
CIV,2020,4960438.73317832
CAN,2020,5690557.45715581
SRB,2020,1376614.87893859
BRN,2020,11009540.4917779
BOL,2020,10277319.3424962
BLZ,2020,8753220.48246454
CAF,2020,5319679.76090142
CMR,2020,5249245.18823124
ALB,2020,1591669.05099106
ARM,2020,3306842.51614599
AZE,2020,3669739.31320715
KHM,2020,9752045.27698672
BOL,2020,10235782.4280281
BEN,2020,4933397.61281998
BLR,2020,1611055.69159271
BTN,2020,7375321.55570505
BWA,2020,8625944.75008527
AUS,2020,16714129.139192
BFA,2020,4298603.87899921
BIH,2020,1311963.81681785
MMR,2020,8451208.92041675
TON,2020,16708354.6168775
SOM,2020,5840433.06908975
SYC,2020,7834533.66098228
STP,2020,5601041.90677498
WSM,2020,15885391.182995
