NAME,TIME,WATER
ZAF,2015,91.9
ZAF,2016,92.3
ZAF,2017,92.7
ZAF,2018,93.1
ZAF,2019,93.5
ZAF,2020,93.9
SSD,2014,41.3
SSD,2015,41.2
SSD,2016,41.2
SSD,2017,41.1
SSD,2018,41
SSD,2019,40.8
SSD,2020,41
ESP,2014,99
ESP,2015,99
ESP,2016,99
ESP,2017,99
ESP,2018,99
ESP,2019,99
ESP,2020,99
LKA,2014,89.4
LKA,2015,90.1
LKA,2016,90.8
LKA,2017,91.5
LKA,2018,92.2
LKA,2019,92.2
LKA,2020,92.2
SDN,2014,57.5
SDN,2015,59
SDN,2016,60.2
SDN,2017,60.3
SDN,2018,60.3
SDN,2019,60.4
SDN,2020,60.4
SUR,2014,95.3
SUR,2015,95.7
SUR,2016,96.2
SUR,2017,96.6
SUR,2018,97.1
SUR,2019,97.5
SUR,2020,98
SWE,2014,99
SWE,2015,99
SWE,2016,99
SWE,2017,99
SWE,2018,99
SWE,2019,99
SWE,2020,99
CHE,2014,99
CHE,2015,99
CHE,2016,99
CHE,2017,99
CHE,2018,99
CHE,2019,99
CHE,2020,99
SYR,2014,93.3
SYR,2015,93.5
SYR,2016,93.7
SYR,2017,93.8
SYR,2018,93.9
SYR,2019,93.9
SYR,2020,93.9
TJK,2014,74.9
TJK,2015,76.2
TJK,2016,77.6
TJK,2017,79
TJK,2018,80.4
TJK,2019,81.8
TJK,2020,81.9
THA,2014,99
THA,2015,99
THA,2016,99
THA,2017,99
THA,2018,99
THA,2019,99
THA,2020,99
TLS,2014,73
TLS,2015,75.3
TLS,2016,77.5
TLS,2017,79.8
TLS,2018,82.1
TLS,2019,83.8
TLS,2020,85.5
TGO,2014,62.4
TGO,2015,63.6
TGO,2016,64.8
TGO,2017,66
TGO,2018,67.2
TGO,2019,68.4
TGO,2020,68.6
TKL,2014,99
TKL,2015,99
TKL,2016,99
TKL,2017,99
TKL,2018,99
TKL,2019,99
TKL,2020,99
TON,2014,98.5
TON,2015,98.5
TON,2016,98.6
TON,2017,98.6
TON,2018,98.7
TON,2019,98.7
TON,2020,98.7
TTO,2014,97.8
TTO,2015,98.1
TTO,2016,98.5
TTO,2017,98.9
TTO,2018,98.9
TTO,2019,98.9
TTO,2020,98.9
TUN,2014,94.2
TUN,2015,94.8
TUN,2016,95.4
TUN,2017,96
TUN,2018,96.5
TUN,2019,97
TUN,2020,97.5
TUR,2014,96.1
TUR,2015,96.3
TUR,2016,96.4
TUR,2017,96.6
TUR,2018,96.7
TUR,2019,96.9
TUR,2020,97
TKM,2014,97
TKM,2015,97.7
TKM,2016,98.3
TKM,2017,99
TKM,2018,99
TKM,2019,99
TKM,2020,99
TUV,2014,99
TUV,2015,99
TUV,2016,99
TUV,2017,99
TUV,2018,99
TUV,2019,99
TUV,2020,99
UGA,2014,46.3
UGA,2015,47.8
UGA,2016,49.4
UGA,2017,51
UGA,2018,52.6
UGA,2019,54.2
UGA,2020,55.9
UKR,2014,93.6
UKR,2015,93.7
UKR,2016,93.7
UKR,2017,93.8
UKR,2018,93.9
UKR,2019,93.9
UKR,2020,93.9
ARE,2014,99
ARE,2015,99
ARE,2016,99
ARE,2017,99
ARE,2018,99
ARE,2019,99
ARE,2020,99
GBR,2014,99
GBR,2015,99
GBR,2016,99
GBR,2017,99
GBR,2018,99
GBR,2019,99
GBR,2020,99
TZA,2014,51.1
TZA,2015,53
TZA,2016,54.8
TZA,2017,56.7
TZA,2018,58.5
TZA,2019,60.4
TZA,2020,60.7
USA,2014,99
USA,2015,99
USA,2016,99
USA,2017,99
USA,2018,99
USA,2019,99
USA,2020,99
URY,2014,99
URY,2015,99
URY,2016,99
URY,2017,99
URY,2018,99
URY,2019,99
URY,2020,99
UZB,2014,97.4
UZB,2015,97.5
UZB,2016,97.7
UZB,2017,97.8
UZB,2018,97.8
UZB,2019,97.8
UZB,2020,97.8
VUT,2014,89.3
VUT,2015,90
VUT,2016,90.7
VUT,2017,91.3
VUT,2018,91.2
VUT,2019,91.2
VUT,2020,91.2
VEN,2014,94.7
VEN,2015,94.6
VEN,2016,94.4
VEN,2017,94.2
VEN,2018,94
VEN,2019,93.9
VEN,2020,93.7
VNM,2014,92.4
VNM,2015,93.3
VNM,2016,94.1
VNM,2017,94.8
VNM,2018,95.5
VNM,2019,96.2
VNM,2020,96.9
YEM,2014,54.8
YEM,2015,55.8
YEM,2016,56.8
YEM,2017,57.8
YEM,2018,58.8
YEM,2019,59.7
YEM,2020,60.7
ZMB,2014,60.5
ZMB,2015,61.3
ZMB,2016,62.2
ZMB,2017,63
ZMB,2018,63.8
ZMB,2019,64.6
ZMB,2020,65.4
ZWE,2014,65.5
ZWE,2015,65
ZWE,2016,64.5
ZWE,2017,64
ZWE,2018,63.5
ZWE,2019,63.1
