NAME,TIME,RISK
KOR,2016,1.9
LAO,2016,4.1
LBN,2016,5.7
LCA,2016,2.2
LKA,2016,3.7
LSO,2016,3.8
MAR,2016,3.6
MDA,2016,2.8
MDG,2016,5.2
MDV,2016,2.7
MEX,2016,5.1
MHL,2016,4.1
MKD,2016,2.5
MLI,2016,6.2
MMR,2016,6.9
MNE,2016,2.5
MNG,2016,3
MOZ,2016,5.7
MRT,2016,5
MUS,2016,2.1
MWI,2016,4.8
MYS,2016,3.2
NAM,2016,3.9
NER,2016,7.4
NGA,2016,6.5
NIC,2016,4.3
NLD,2016,1.4
NOR,2016,1
NPL,2016,5.1
NRU,2016,3.2
NZL,2016,1.5
PAK,2016,6.8
PAN,2016,3.6
PER,2016,4.2
PHL,2016,5.7
PLW,2016,2.4
PNG,2016,5.7
POL,2016,1.8
PRT,2016,1.5
PRY,2016,2.6
PSE,2016,4.5
QAT,2016,1.6
ROU,2016,2.3
RWA,2016,4.6
SDN,2016,7.1
SEN,2016,4.4
SGP,2016,0.6
SLB,2016,5
SLE,2016,4.6
SLV,2016,4.7
SRB,2016,3.3
SVK,2016,1.6
SVN,2016,1.2
SWE,2016,1.4
SWZ,2016,3.2
SYC,2016,2.1
SYR,2016,7
TGO,2016,4.2
THA,2016,4.1
TJK,2016,3.9
TLS,2016,4
TON,2016,3.6
TTO,2016,2.1
TUN,2016,3.2
TUR,2016,4.9
TZA,2016,4.9
URY,2016,1.5
USA,2016,3.2
UZB,2016,2.9
VEN,2016,4.5
VNM,2016,3.6
VUT,2016,4.6
WSM,2016,2.9
YEM,2016,8
ZAF,2016,4.2
ZMB,2016,4.2
ZWE,2016,4.7
ALB,2016,3
AZE,2016,4.6
BEL,2016,1.5
BHS,2016,2.1
BIH,2016,3.7
CAF,2016,8.5
COG,2016,4.9
CYP,2016,2.9
DMA,2016,3.6
ERI,2016,4.3
EST,2016,1
GNQ,2016,3.8
GUY,2016,3.6
IRL,2016,1.4
ISL,2016,1.1
ISR,2016,2.3
KWT,2016,1.8
LBR,2016,5
LBY,2016,6.6
LTU,2016,1.3
LUX,2016,0.9
LVA,2016,1.5
MLT,2016,1.8
OMN,2016,2.6
PRK,2016,5.2
RUS,2016,4.3
SAU,2016,2.8
SOM,2016,8.9
SSD,2016,8.7
STP,2016,2.6
SUR,2016,2.9
TCD,2016,7.8
TKM,2016,2.4
UGA,2016,6.3
UKR,2016,5.4
VCT,2016,2
BLZ,2016,3.7
KIR,2016,3.9
LIE,2016,0.9
TUV,2016,3.8
AFG,2023,8.1
AGO,2023,4.6
ARE,2023,1.7
ARG,2023,2.9
ARM,2023,4.6
ATG,2023,2.2
AUS,2023,2.4
AUT,2023,1.9
BDI,2023,6
BEN,2023,3.8
BFA,2023,7
BGD,2023,5.5
BGR,2023,2.7
BHR,2023,1.2
BLR,2023,1.8
BOL,2023,4
BRA,2023,4.5
BRB,2023,2
BRN,2023,1.8
BTN,2023,3.1
BWA,2023,2.9
CAN,2023,2.4
CHE,2023,1.4
CHL,2023,3.4
CHN,2023,3.7
CIV,2023,4.5
CMR,2023,6.5
COD,2023,7.6
COL,2023,5.4
COM,2023,3.7
CPV,2023,2.4
CRI,2023,3.5
CUB,2023,2.3
CZE,2023,1.8
DEU,2023,2.1
DJI,2023,4.8
DNK,2023,1.2
DOM,2023,4.1
DZA,2023,3.6
ECU,2023,4.6
EGY,2023,4.7
ESP,2023,2.3
ETH,2023,7
FIN,2023,0.9
FJI,2023,2.7
FRA,2023,2.3
FSM,2023,3.6
GAB,2023,3.1
GBR,2023,1.9
GEO,2023,3.4
GHA,2023,3.5
GIN,2023,4.6
GMB,2023,3.7
GNB,2023,3.8
GRC,2023,2.8
GRD,2023,1.9
GTM,2023,5.1
HND,2023,5.1
HRV,2023,2.6
HTI,2023,6.5
HUN,2023,2
IDN,2023,4.6
IND,2023,5.3
IRN,2023,5.1
IRQ,2023,6.6
ITA,2023,2.6
JAM,2023,3.1
JOR,2023,4.2
JPN,2023,2.2
KAZ,2023,1.8
KEN,2023,6.7
KGZ,2023,3.1
KHM,2023,4.4
KNA,2023,2
KOR,2023,1.9
LAO,2023,3.9
LBN,2023,4.5
LCA,2023,2.3
LKA,2023,3.3
LSO,2023,3.9
MAR,2023,3.5
MDA,2023,3.4
MDG,2023,5.3
MDV,2023,2.4
MEX,2023,5.1
MHL,2023,3.8
MKD,2023,2.5
MLI,2023,6.9
MMR,2023,6.8
MNE,2023,2.7
MNG,2023,2.6
MOZ,2023,7.2
MRT,2023,4.9
MUS,2023,2.1
MWI,2023,4.5
MYS,2023,3
NAM,2023,4
NER,2023,7.5
NGA,2023,6.4
NIC,2023,4.4
NLD,2023,1.5
NOR,2023,0.9
NPL,2023,4.4
NRU,2023,3.2
NZL,2023,1.6
PAK,2023,6.1
PAN,2023,3.9
PER,2023,4.8
PHL,2023,5.2
PLW,2023,3.3
PNG,2023,5.9
POL,2023,2.5
PRT,2023,2
PRY,2023,2.6
PSE,2023,4.6
QAT,2023,1.4
ROU,2023,2.7
RWA,2023,4.5
SDN,2023,7.1
SEN,2023,4.2
SGP,2023,0.5
SLB,2023,4.5
SLE,2023,4.4
SLV,2023,4.3
SRB,2023,2.8
